STARTING WEB3 connection
Blck: 71, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 72, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 73, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 74, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 75, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 76, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 77, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 78, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 79, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 80, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 81, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 82, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 83, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 84, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 85, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 86, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 87, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 88, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 89, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 90, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 91, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 92, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 93, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 94, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 95, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 96, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 97, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 98, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 99, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 100, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 101, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 102, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 103, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 104, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 105, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 106, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 107, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 108, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 109, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 110, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 111, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 112, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 113, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 114, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 115, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 116, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 117, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 118, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 119, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 120, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 121, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 122, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 123, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 124, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 125, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 126, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 127, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 128, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 129, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 130, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 131, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 132, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 133, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 134, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 135, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 136, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 137, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 138, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 139, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 140, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 141, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 142, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 143, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 144, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 145, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 146, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 147, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 148, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 149, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
